國文,英文,法文,德文,日文
15,14,11,0,13
14,12,12,0,13
15,12,15,10,14
15,13,15,13,13
14,14,12,0,13
15,13,11,0,14
14,11,13,13,13
14,12,12,0,13
13,9,14,0,12
15,12,14,11,14
15,12,11,13,15
14,13,13,14,13
13,11,13,0,13
15,14,13,0,15
13,8,14,11,11
14,15,13,12,14
14,11,13,0,13
13,11,13,11,11
13,11,15,0,12
13,13,13,12,11
13,11,14,10,14
14,14,13,14,14
14,12,14,9,12
13,14,13,0,13
14,7,13,0,13
15,13,12,11,13
13,13,15,0,14
14,13,15,0,14
13,13,13,0,13
14,14,12,13,15
14,12,12,13,12
12,11,15,9,8
15,12,11,0,14
14,13,15,11,13
13,14,13,0,11
14,14,12,12,13
12,10,14,11,14
15,13,12,0,14
15,15,12,0,14
12,8,15,10,14
12,8,15,10,13
13,12,12,12,13
13,13,13,0,13
13,14,13,0,15
15,13,11,15,15
14,13,14,11,14
14,12,13,11,15
14,14,13,15,15
14,14,15,0,13
13,15,15,12,15
14,13,13,9,13
14,12,12,0,14
14,15,13,13,13
13,13,13,11,13
13,9,13,0,12
13,10,14,9,14
13,13,12,12,13
14,13,12,10,15
13,14,12,11,12
14,13,13,0,14
13,14,14,0,14
13,9,14,10,12
14,14,14,0,14
14,14,13,13,13
13,12,11,0,13
14,15,12,0,14
15,15,12,14,15
13,6,14,8,11
14,15,12,11,12
14,13,12,11,15
13,9,15,0,12
14,11,12,12,9
14,14,13,13,14
13,11,14,0,12
14,11,13,12,14
14,13,14,13,13
14,12,15,0,15
14,11,12,12,14
13,9,13,13,9
14,13,14,11,13
13,9,13,12,10
14,9,14,13,13
14,14,13,13,14
13,10,13,10,13
14,9,13,12,11
13,14,13,9,14
13,11,14,10,12
13,12,13,12,13
14,11,13,7,12
11,10,15,0,13
13,10,14,0,14
13,10,13,13,13
12,12,15,0,11
15,14,12,10,12
14,13,13,10,12
14,8,15,0,12
13,11,13,0,12
13,12,13,0,11
13,12,13,10,12
14,11,12,13,10
15,13,12,12,13
14,9,12,0,12
13,9,14,0,14
13,14,14,0,14
14,12,12,0,11
14,14,12,14,14
14,6,12,11,9
14,11,13,12,14
14,12,12,11,14
15,15,11,0,13
14,9,13,0,14
15,12,15,0,15
14,13,13,11,13
14,14,14,0,13
13,14,14,0,15
11,6,15,13,15
13,14,13,0,12
13,14,14,11,13
15,14,11,0,12
12,10,15,0,10
12,11,14,0,13
13,14,14,12,13
12,11,14,0,12
15,14,11,0,14
13,12,15,0,14
13,13,14,0,14
13,11,14,0,14
13,9,13,13,12
13,13,13,9,12
14,13,14,0,13
15,14,11,13,13
13,12,13,0,14
12,11,15,0,12
12,12,14,11,14
12,11,15,11,13
14,14,15,0,15
13,12,14,0,14
13,12,13,11,11
14,15,12,0,12
13,14,13,15,14
15,12,12,11,14
13,10,13,0,13
14,11,12,0,14
13,13,13,0,15
13,15,14,0,12
14,11,12,9,12
14,14,12,11,15
13,11,14,11,12
13,8,13,12,13
13,11,14,0,11
14,15,13,0,13
13,15,13,13,15
13,13,13,10,13
12,13,12,12,15
13,13,15,9,12
12,9,14,0,13
14,13,13,12,12
12,10,14,0,9
14,15,13,15,12
14,15,12,0,13
13,15,13,9,14
14,13,11,10,13
15,15,11,13,14
13,12,13,13,12
13,12,11,12,15
13,12,13,10,13
12,11,14,8,11
15,12,12,0,14
11,9,15,12,13
15,13,12,14,14
14,13,14,12,13
13,14,13,13,14
13,12,14,10,14
13,14,13,0,13
12,11,15,0,14
15,14,12,13,14
12,12,15,0,13
13,12,13,0,13
15,14,11,13,7
12,7,13,13,15
14,12,12,9,13
12,13,15,10,11
12,14,15,11,12
13,12,13,13,15
14,14,13,13,15
13,13,13,12,14
13,13,13,9,13
12,12,15,0,13
10,7,15,0,13
15,14,12,0,15
13,14,13,0,13
14,13,13,14,15
14,14,12,11,12
13,12,15,0,14
13,13,13,7,13
14,14,13,0,13
13,12,13,10,13
13,11,14,7,7
13,13,14,10,14
12,14,12,0,13
12,12,15,0,14
14,14,13,12,14
13,7,11,11,13
12,12,14,11,14
13,10,13,0,14
13,12,14,0,12
14,13,13,0,14
14,14,12,14,14
13,12,13,15,13
13,8,14,0,10
14,14,12,13,14
13,11,13,12,12
13,13,13,13,0
14,11,13,0,13
12,13,14,0,13
12,12,14,0,13
12,10,14,10,13
12,11,15,13,13
13,12,12,12,13
13,12,15,0,14
14,15,12,14,9
14,10,12,14,15
14,14,12,9,13
14,13,13,0,14
12,11,10,0,11
14,11,11,12,13
12,12,14,8,13
15,10,11,11,12
13,13,13,0,15
12,8,14,14,13
12,14,14,0,15
14,12,12,10,14
12,12,11,11,12
11,7,12,10,12
14,11,12,10,13
12,9,14,0,13
14,13,13,10,14
14,13,12,13,14
14,12,12,10,13
14,11,12,11,14
14,14,12,0,13
14,12,13,11,12
13,13,13,0,12
14,14,12,12,14
14,14,12,0,13
14,14,12,13,14
12,10,14,11,11
12,13,14,0,13
13,13,13,0,11
12,13,10,0,14
14,14,12,14,15
13,13,13,0,14
14,10,13,0,14
12,12,10,12,13
11,14,11,0,14
13,13,9,13,15
12,6,10,10,13
12,8,14,11,12
12,14,13,0,14
14,15,12,12,13
13,10,13,11,13
12,7,9,9,11
10,12,10,0,13
12,11,9,0,14
8,8,14,0,13
9,7,9,7,8
10,7,8,0,10
11,15,7,0,12
